Planting number,Planting Name,Date,DOY,L1,L2,L3,L4,L5,L6,L7,L8,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-08-28,239,0.393925118,0.37548722,0.342766097,0.284502338,0.308987867,0.350264175,0.321550222,0.321550222,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-04,247,0.311636209,0.295905812,0.274052442,0.225310366,0.242974333,0.276771525,0.290467646,0.290467646,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-07,250,0.314500925,0.306953257,0.282685551,0.230777341,0.245872676,0.280135386,0.292886214,0.292886214,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-10,253,0.308435119,0.299834507,0.277570514,0.228345738,0.240199536,0.273870014,0.281575999,0.281575999,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-24,267,0.304745982,0.29328485,0.272530366,0.226806271,0.258479942,0.311189105,0.328611631,0.328611631,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-10-01,274,0.30535762,0.299184946,0.272638415,0.230377789,0.264811626,0.31092513,0.321777739,0.321777739,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-11-16,320,0.323485858,0.313963324,0.296655073,0.268746265,0.283998289,0.306996104,0.320092083,0.320092083,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-06,186,0.275107929,0.241289961,0.24055797,0.251475088,0.291525434,0.335758584,0.257644724,0.257644724,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-18,197,0.276989222,0.243501658,0.24718529,0.260371018,0.28948427,0.338062168,0.275984595,0.275984595,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-23,204,0.267835543,0.241171155,0.242845335,0.259362556,0.277451873,0.328024376,0.251563324,0.251563324,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-08-25,236,0.278106818,0.248428588,0.251959239,0.264025754,0.257836733,0.290526399,0.259020539,0.259020539,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-09-07,250,0.271518294,0.23643295,0.240278764,0.247826432,0.236165594,0.267590216,0.242006296,0.242006296,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-11-16,320,0.237307116,0.207073721,0.211530142,0.250713361,0.266135166,0.285809987,0.291024554,0.291024554,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-06,186,0.300602118,0.237525437,0.241206305,0.265006458,0.30503589,0.33308159,0.256348054,0.256348054,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-18,197,0.307609414,0.240843582,0.247603884,0.267319688,0.305223425,0.335759898,0.280756573,0.280756573,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-23,204,0.297378705,0.237149038,0.238782385,0.2606284,0.290824901,0.324818933,0.271633074,0.271633074,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-08-25,236,0.306684315,0.238438925,0.22834542,0.236445147,0.255884491,0.287244971,0.255946796,0.255946796,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-09-07,250,0.299199931,0.218622922,0.195424641,0.204617577,0.22195459,0.254201846,0.224957205,0.224957205,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-11-16,320,0.24666375,0.182480195,0.168963001,0.178929851,0.214729149,0.27615749,0.276675249,0.276675249,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-07-06,186,0.323084689,0.280273692,0.283285311,0.306813582,0.314677253,0.341990962,0.272012655,0.272012655,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-07-18,197,0.323285781,0.280024033,0.278935687,0.307253609,0.312988354,0.343378319,0.279333352,0.279333352,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-07-23,204,0.320347646,0.274389347,0.267590541,0.293499506,0.299685807,0.333271503,0.263323422,0.263323422,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-08-25,236,0.323257602,0.2797683,0.252976896,0.262385041,0.262364272,0.31071341,0.296071596,0.296071596,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-09-07,250,0.310140964,0.24873133,0.215188425,0.230818473,0.236905965,0.267261162,0.236350687,0.236350687,,,,,,,,,,,,,,,,,,
7,PI_Rainf_R2_2018,2018-11-16,320,0.256057368,0.211918461,0.185494289,0.208830401,0.248605344,0.282647962,0.288306322,0.288306322,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-07-06,186,0.357676476,0.293512266,0.261576559,0.271991741,0.268059905,0.275045187,0.206059681,0.206059681,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-07-18,197,0.355287335,0.293900442,0.259617548,0.268387104,0.271526563,0.278286865,0.21997811,0.21997811,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-07-23,204,0.344704931,0.28921197,0.25668795,0.268121379,0.26391551,0.270448898,0.219862212,0.219862212,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-07-31,212,0.427977954,0.360476317,0.31053149,0.326590446,0.323300079,0.330150918,0.283000078,0.283000078,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-08-24,235,0.35281122,0.295614689,0.254119166,0.260017428,0.260495104,0.265894922,0.205813409,0.205813409,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-09-07,250,0.347426854,0.291631697,0.24451533,0.242931759,0.244165711,0.252412617,0.208140602,0.208140602,,,,,,,,,,,,,,,,,,
8,NPI_F_R1_2018,2018-11-16,320,0.337839529,0.280644441,0.252056878,0.274775206,0.305279253,0.315201054,0.284578056,0.284578056,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-07-06,186,0.269314746,0.241269047,0.207639305,0.201093217,0.223931325,0.260719084,0.23031325,0.23031325,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-07-18,197,0.270312639,0.244485355,0.207837401,0.203860753,0.222592859,0.27024985,0.253110706,0.253110706,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-07-23,204,0.261547157,0.239905311,0.20203208,0.198071213,0.215874695,0.269713892,0.257337723,0.257337723,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-07-31,212,0.323226414,0.294423423,0.254398808,0.24587823,0.268493366,0.343435161,0.327835505,0.327835505,,,,,,,,,,,,,,,,,,
